Section,Item,Description,Type,Codelist,XML,Occur,Rules
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/description/narrative/@xml:lang,0..1,
,document-link,"A link to an online, publicly accessible web page or document expanding on the result.",,,iati-activities/iati-activity/result/document-link,0..*,
,url,"The target URL of the external document, e.g. “http://www.example.org/doc.odt”.",xsd:anyURI,,iati-activities/iati-activity/result/document-link/@url,1..1,
,format,"An IANA code for the MIME type of the document being referenced, e.g. “application/pdf”.",xsd:string,File Format,iati-activities/iati-activity/result/document-link/@format,1..1,
,title,"A short, human-readable title.",,,iati-activities/iati-activity/result/document-link/title,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/document-link/title/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/document-link/title/narrative/text(),,4.3.1: The title must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/document-link/title/narrative/@xml:lang,0..1,
,description,"A description of the document contents, or guidance on where to access the relevant information in the document.",,,iati-activities/iati-activity/result/document-link/description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/document-link/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/document-link/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/document-link/description/narrative/@xml:lang,0..1,
,category,IATI Document Category Code,,,iati-activities/iati-activity/result/document-link/category,1..*,
,code,An IATI code defining the category of the document.,xsd:string,Document Category,iati-activities/iati-activity/result/document-link/category/@code,1..1,
,language,"The ISO 639-1 language code in which target document is written, e.g. “en”. Can be repeated to describe multi-lingual documents.",,,iati-activities/iati-activity/result/document-link/language,0..*,
,code,ISO 639-1 language code,xsd:string,Language,iati-activities/iati-activity/result/document-link/language/@code,1..1,
,document-date,The date of publication of the document that is being linked to.,,,iati-activities/iati-activity/result/document-link/document-date,0..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/result/document-link/document-date/@iso-date,1..1,
,reference,A reference element to allow for the coded identification of a results framework.,,,iati-activities/iati-activity/result/reference,0..*,
,code,A code from the codelist identified in vocabulary that identifies a results framework.,xsd:string,,iati-activities/iati-activity/result/reference/@code,1..1,
,vocabulary,A code for the results framework vocabulary. The code must be a valid value in the ResultVocabulary codelist.,xsd:string,Result Vocabulary,iati-activities/iati-activity/result/reference/@vocabulary,1..1,
,vocabulary-uri,"The URI where this vocabulary is defined. If the vocabulary is 99 (reporting organisation), the URI where this internal vocabulary is defined. While this is an optional field it is STRONGLY RECOMMENDED that all publishers use it to ensure that the meaning of their codes are fully understood by data users.",xsd:anyURI,,iati-activities/iati-activity/result/reference/@vocabulary-uri,0..1,
,indicator,The indicator(s) that meet the results. There can be multiple indicators for each result.,,,iati-activities/iati-activity/result/indicator,1..*,
,measure,An IATI code defining the unit of measure in which the value is reported.,xsd:string,Indicator Measure,iati-activities/iati-activity/result/indicator/@measure,1..1,
,ascending,A boolean describing the behaviour of the indicator. It is “true” if the indicator improves from small to large (e.g. clinics built); false if it improves from large to small (e.g. cases of a disease).,xsd:boolean,,iati-activities/iati-activity/result/indicator/@ascending,0..1,
,aggregation-status,Boolean flag indicating whether the data in the result set are suitable for aggregation.,xsd:boolean,,iati-activities/iati-activity/result/indicator/@aggregation-status,0..1,
,title,"A short, human-readable title.",,,iati-activities/iati-activity/result/indicator/title,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/title/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/title/narrative/text(),,4.3.1: The title must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/title/narrative/@xml:lang,0..1,
,description,"A longer, human-readable description.",,,iati-activities/iati-activity/result/indicator/description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/description/narrative/@xml:lang,0..1,
,document-link,"A link to an online, publicly accessible web page or document expanding on the result.",,,iati-activities/iati-activity/result/indicator/document-link,0..*,
,url,"The target URL of the external document, e.g. “http://www.example.org/doc.odt”.",xsd:anyURI,,iati-activities/iati-activity/result/indicator/document-link/@url,1..1,
,format,"An IANA code for the MIME type of the document being referenced, e.g. “application/pdf”.",xsd:string,File Format,iati-activities/iati-activity/result/indicator/document-link/@format,1..1,
,title,"A short, human-readable title.",,,iati-activities/iati-activity/result/indicator/document-link/title,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/document-link/title/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/document-link/title/narrative/text(),,4.3.1: The title must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/document-link/title/narrative/@xml:lang,0..1,
,description,"A description of the document contents, or guidance on where to access the relevant information in the document.",,,iati-activities/iati-activity/result/indicator/document-link/description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/document-link/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/document-link/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/document-link/description/narrative/@xml:lang,0..1,
,category,IATI Document Category Code,,,iati-activities/iati-activity/result/indicator/document-link/category,1..*,
,code,An IATI code defining the category of the document.,xsd:string,Document Category,iati-activities/iati-activity/result/indicator/document-link/category/@code,1..1,
,language,"The ISO 639-1 language code in which target document is written, e.g. “en”. Can be repeated to describe multi-lingual documents.",,,iati-activities/iati-activity/result/indicator/document-link/language,0..*,
,code,ISO 639-1 language code,xsd:string,Language,iati-activities/iati-activity/result/indicator/document-link/language/@code,1..1,
,document-date,The date of publication of the document that is being linked to.,,,iati-activities/iati-activity/result/indicator/document-link/document-date,0..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/result/indicator/document-link/document-date/@iso-date,1..1,
,reference,"A standardised means of identifying the indicator from a code in a recognised vocabulary. Multiple vocabularies may be specified, but each vocabulary may be specified only once for each indicator.",,,iati-activities/iati-activity/result/indicator/reference,0..*,8.11.1: A reference code must only be declared at result OR result indicator level.
,vocabulary,A code for a recognised vocabulary of indicators. The value for this field should appear in the IndicatorVocabulary codelist.,xsd:string,Indicator Vocabulary,iati-activities/iati-activity/result/indicator/reference/@vocabulary,1..1,
,code,A code for an indicator defined in the specified vocabulary specified.,xsd:string,,iati-activities/iati-activity/result/indicator/reference/@code,1..1,
,indicator-uri,"The URI where this vocabulary is defined. If the vocabulary is 99 (reporting organisation), the URI where this internal vocabulary is defined. While this is an optional field it is STRONGLY RECOMMENDED that all publishers use it to ensure that the meaning of their codes are fully understood by data users.",xsd:anyURI,,iati-activities/iati-activity/result/indicator/reference/@indicator-uri,0..1,
,baseline,The baseline value for the indicator,,,iati-activities/iati-activity/result/indicator/baseline,0..*,
,iso-date,,xsd:date,,iati-activities/iati-activity/result/indicator/baseline/@iso-date,0..1,
,year,The year the baseline value was taken (yyyy),xsd:positiveInteger,,iati-activities/iati-activity/result/indicator/baseline/@year,1..1,
,value,The baseline value. The @value should be omitted for qualitative measures. The @value must be included for non-qualitative measures. The @value should be a valid number for all non-qualitative measures.,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/@value,0..1,
,location,A location already defined and described in the iati-activity/location element.,,,iati-activities/iati-activity/result/indicator/baseline/location,0..*,
,ref,A cross-reference to the internal reference assigned to a defined location: iati-activity/location/@ref.,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/location/@ref,0..1,
,dimension,"A category used for disaggregating the result by gender, age, etc.",,,iati-activities/iati-activity/result/indicator/baseline/dimension,0..*,
,name,Freetext description of a category being disaggregated.,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/dimension/@name,0..1,
,value,Description of the value being disaggregated.,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/dimension/@value,0..1,
,document-link,"A link to an online, publicly accessible web page or document expanding on the result.",,,iati-activities/iati-activity/result/indicator/baseline/document-link,0..*,
,url,"The target URL of the external document, e.g. “http://www.example.org/doc.odt”.",xsd:anyURI,,iati-activities/iati-activity/result/indicator/baseline/document-link/@url,1..1,
,format,"An IANA code for the MIME type of the document being referenced, e.g. “application/pdf”.",xsd:string,File Format,iati-activities/iati-activity/result/indicator/baseline/document-link/@format,1..1,
,title,"A short, human-readable title.",,,iati-activities/iati-activity/result/indicator/baseline/document-link/title,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/baseline/document-link/title/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/document-link/title/narrative/text(),,4.3.1: The title must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/baseline/document-link/title/narrative/@xml:lang,0..1,
,description,"A description of the document contents, or guidance on where to access the relevant information in the document.",,,iati-activities/iati-activity/result/indicator/baseline/document-link/description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/baseline/document-link/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/document-link/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/baseline/document-link/description/narrative/@xml:lang,0..1,
,category,IATI Document Category Code,,,iati-activities/iati-activity/result/indicator/baseline/document-link/category,1..*,
,code,An IATI code defining the category of the document.,xsd:string,Document Category,iati-activities/iati-activity/result/indicator/baseline/document-link/category/@code,1..1,
,language,"The ISO 639-1 language code in which target document is written, e.g. “en”. Can be repeated to describe multi-lingual documents.",,,iati-activities/iati-activity/result/indicator/baseline/document-link/language,0..*,
,code,ISO 639-1 language code,xsd:string,Language,iati-activities/iati-activity/result/indicator/baseline/document-link/language/@code,1..1,
,document-date,The date of publication of the document that is being linked to.,,,iati-activities/iati-activity/result/indicator/baseline/document-link/document-date,0..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/result/indicator/baseline/document-link/document-date/@iso-date,1..1,
,comment,A human-readable comment associated with a piece of aid information.,,,iati-activities/iati-activity/result/indicator/baseline/comment,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/baseline/comment/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/baseline/comment/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/baseline/comment/narrative/@xml:lang,0..1,
,period,The period covered for the results reported. Multiple periods can be reported for a single indicator.,,,iati-activities/iati-activity/result/indicator/period,0..*,
,period-start,The start of the reporting period.,,,iati-activities/iati-activity/result/indicator/period/period-start,1..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/result/indicator/period/period-start/@iso-date,1..1,8.6.1: The start date of the indicator period must be before the end date of the indicator period.
,period-end,The end of the reporting period.,,,iati-activities/iati-activity/result/indicator/period/period-end,1..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/result/indicator/period/period-end/@iso-date,1..1,8.6.1: The start date of the indicator period must be before the end date of the indicator period.
,target,The target milestone for this period,,,iati-activities/iati-activity/result/indicator/period/target,0..*,
,value,The target value. The @value should be omitted for qualitative measures. The @value must be included for non-qualitative measures. The @value should be a valid number for all non-qualitative measures.,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/@value,0..1,
,location,A location already defined and described in the iati-activity/location element.,,,iati-activities/iati-activity/result/indicator/period/target/location,0..*,
,ref,A cross-reference to the internal reference assigned to a defined location: iati-activity/location/@ref.,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/location/@ref,0..1,
,dimension,"A category used for disaggregating the result by gender, age, etc.",,,iati-activities/iati-activity/result/indicator/period/target/dimension,0..*,
,name,Freetext description of a category being disaggregated.,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/dimension/@name,0..1,
,value,Description of the value being disaggregated.,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/dimension/@value,0..1,
,comment,A human-readable comment associated with a piece of aid information.,,,iati-activities/iati-activity/result/indicator/period/target/comment,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/period/target/comment/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/comment/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/period/target/comment/narrative/@xml:lang,0..1,
,document-link,"A link to an online, publicly accessible web page or document expanding on the result.",,,iati-activities/iati-activity/result/indicator/period/target/document-link,0..*,
,url,"The target URL of the external document, e.g. “http://www.example.org/doc.odt”.",xsd:anyURI,,iati-activities/iati-activity/result/indicator/period/target/document-link/@url,1..1,
,format,"An IANA code for the MIME type of the document being referenced, e.g. “application/pdf”.",xsd:string,File Format,iati-activities/iati-activity/result/indicator/period/target/document-link/@format,1..1,
,title,"A short, human-readable title.",,,iati-activities/iati-activity/result/indicator/period/target/document-link/title,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/period/target/document-link/title/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/document-link/title/narrative/text(),,4.3.1: The title must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/period/target/document-link/title/narrative/@xml:lang,0..1,
,description,"A description of the document contents, or guidance on where to access the relevant information in the document.",,,iati-activities/iati-activity/result/indicator/period/target/document-link/description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/period/target/document-link/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/period/target/document-link/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/period/target/document-link/description/narrative/@xml:lang,0..1,
,category,IATI Document Category Code,,,iati-activities/iati-activity/result/indicator/period/target/document-link/category,1..*,
,code,An IATI code defining the category of the document.,xsd:string,Document Category,iati-activities/iati-activity/result/indicator/period/target/document-link/category/@code,1..1,
,language,"The ISO 639-1 language code in which target document is written, e.g. “en”. Can be repeated to describe multi-lingual documents.",,,iati-activities/iati-activity/result/indicator/period/target/document-link/language,0..*,
,code,ISO 639-1 language code,xsd:string,Language,iati-activities/iati-activity/result/indicator/period/target/document-link/language/@code,1..1,
,document-date,The date of publication of the document that is being linked to.,,,iati-activities/iati-activity/result/indicator/period/target/document-link/document-date,0..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/result/indicator/period/target/document-link/document-date/@iso-date,1..1,
,actual,A record of the achieved result for this period.,,,iati-activities/iati-activity/result/indicator/period/actual,0..*,
,value,The actual measure. The @value should be omitted for qualitative measures. The @value must be included for non-qualitative measures. The @value should be a valid number for all non-qualitative measures.,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/@value,0..1,
,location,A location already defined and described in the iati-activity/location element.,,,iati-activities/iati-activity/result/indicator/period/actual/location,0..*,
,ref,A cross-reference to the internal reference assigned to a defined location: iati-activity/location/@ref.,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/location/@ref,0..1,
,dimension,"A category used for disaggregating the result by gender, age, etc.",,,iati-activities/iati-activity/result/indicator/period/actual/dimension,0..*,
,name,Freetext description of a category being disaggregated.,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/dimension/@name,0..1,
,value,Description of the value being disaggregated.,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/dimension/@value,0..1,
,comment,A human-readable comment associated with a piece of aid information.,,,iati-activities/iati-activity/result/indicator/period/actual/comment,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/period/actual/comment/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/comment/narrative/text(),,
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/period/actual/comment/narrative/@xml:lang,0..1,
,document-link,"A link to an online, publicly accessible web page or document expanding on the result.",,,iati-activities/iati-activity/result/indicator/period/actual/document-link,0..*,
,url,"The target URL of the external document, e.g. “http://www.example.org/doc.odt”.",xsd:anyURI,,iati-activities/iati-activity/result/indicator/period/actual/document-link/@url,1..1,
,format,"An IANA code for the MIME type of the document being referenced, e.g. “application/pdf”.",xsd:string,File Format,iati-activities/iati-activity/result/indicator/period/actual/document-link/@format,1..1,
,title,"A short, human-readable title.",,,iati-activities/iati-activity/result/indicator/period/actual/document-link/title,1..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/title/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/document-link/title/narrative/text(),,4.3.1: The title must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/period/actual/document-link/title/narrative/@xml:lang,0..1,
,description,"A description of the document contents, or guidance on where to access the relevant information in the document.",,,iati-activities/iati-activity/result/indicator/period/actual/document-link/description,0..1,
,narrative,The free text name or description of the item being described. This can be repeated in multiple languages.,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/description/narrative,1..*,
,,,xsd:string,,iati-activities/iati-activity/result/indicator/period/actual/document-link/description/narrative/text(),,4.4.1: The description must contain narrative content.
,xml:lang,"A code specifying the language of text in this element. It is recommended that wherever possible only codes from ISO 639-1 are used. If not present, the default language is assumed.",,Language,iati-activities/iati-activity/result/indicator/period/actual/document-link/description/narrative/@xml:lang,0..1,
,category,IATI Document Category Code,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/category,1..*,
,code,An IATI code defining the category of the document.,xsd:string,Document Category,iati-activities/iati-activity/result/indicator/period/actual/document-link/category/@code,1..1,
,language,"The ISO 639-1 language code in which target document is written, e.g. “en”. Can be repeated to describe multi-lingual documents.",,,iati-activities/iati-activity/result/indicator/period/actual/document-link/language,0..*,
,code,ISO 639-1 language code,xsd:string,Language,iati-activities/iati-activity/result/indicator/period/actual/document-link/language/@code,1..1,
,document-date,The date of publication of the document that is being linked to.,,,iati-activities/iati-activity/result/indicator/period/actual/document-link/document-date,0..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/result/indicator/period/actual/document-link/document-date/@iso-date,1..1,
crs-add,,Additional items specific to CRS++ reporting.,,,iati-activities/iati-activity/crs-add,0..1,
,other-flags,This covers the four CRS++ columns titled: “Free standing technical cooperation”; “Programme-based approach”; “Investment project”; “Associated financing”,,,iati-activities/iati-activity/crs-add/other-flags,0..*,
,code,An IATI code describing the equivalent CRS++ columns,xsd:string,CRS Additional Other Flags,iati-activities/iati-activity/crs-add/other-flags/@code,1..1,
,significance,A boolean indicating whether the flag applies. If ‘false’ do not report the flag,xsd:boolean,,iati-activities/iati-activity/crs-add/other-flags/@significance,1..1,
,loan-terms,Loan repayment terms and interest rates,,,iati-activities/iati-activity/crs-add/loan-terms,0..1,
,rate-1,"Interest Rate. If an ODA loan with variable interest rate, report the variable rate here and the reference fixed rate as rate-2 Enter the rate without the percentage sign.",xsd:decimal,,iati-activities/iati-activity/crs-add/loan-terms/@rate-1,0..1,
,rate-2,"Second Interest Rate. If an ODA loan with variable interest rate, report the variable rate as rate-1 and the reference fixed rate here Enter the rate without the percentage sign.",xsd:decimal,,iati-activities/iati-activity/crs-add/loan-terms/@rate-2,0..1,
,repayment-type,The type of loan repayment,,,iati-activities/iati-activity/crs-add/loan-terms/repayment-type,0..1,
,code,An IATI codelist tabulating CRS-specified values for the type of Repayment.,xsd:string,Loan Repayment Type,iati-activities/iati-activity/crs-add/loan-terms/repayment-type/@code,1..1,
,repayment-plan,Number of repayments per annum.,,,iati-activities/iati-activity/crs-add/loan-terms/repayment-plan,0..1,
,code,An IATI codelist tabulating CRS-specified values for the number of repayments per annum.,xsd:string,Loan Repayment Period,iati-activities/iati-activity/crs-add/loan-terms/repayment-plan/@code,1..1,
,commitment-date,The CRS++ reported commitment date,,,iati-activities/iati-activity/crs-add/loan-terms/commitment-date,0..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/crs-add/loan-terms/commitment-date/@iso-date,1..1,
,repayment-first-date,First Repayment Date.,,,iati-activities/iati-activity/crs-add/loan-terms/repayment-first-date,0..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/crs-add/loan-terms/repayment-first-date/@iso-date,1..1,
,repayment-final-date,Final Repayment Date.,,,iati-activities/iati-activity/crs-add/loan-terms/repayment-final-date,0..1,
,iso-date,,xsd:date,,iati-activities/iati-activity/crs-add/loan-terms/repayment-final-date/@iso-date,1..1,
,loan-status,The status of loan and interest repayments for the most recently reported financial year,,,iati-activities/iati-activity/crs-add/loan-status,0..1,
,year,CRS Reporting Year (CRS++ Column 1),xsd:decimal,,iati-activities/iati-activity/crs-add/loan-status/@year,1..1,
,currency,A three letter ISO 4217 code for the original currency of the amount. This is required for all currency amounts unless the iati-organisation/@default-currency attribute is specified.,xsd:string,Currency,iati-activities/iati-activity/crs-add/loan-status/@currency,0..1,
,value-date,The date to be used for determining the exchange rate for currency conversions.,xsd:date,,iati-activities/iati-activity/crs-add/loan-status/@value-date,1..1,
,interest-received,Interest received during the reporting year,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-status/interest-received,0..1,
,principal-outstanding,The amount of principal owed on the loan at the end of the reporting year.,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-status/principal-outstanding,0..1,
,principal-arrears,Arrears of principal at the end of the year. Included in principal-outstanding,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-status/principal-arrears,0..1,
,interest-arrears,Arrears of interest at the end of the year,xsd:decimal,,iati-activities/iati-activity/crs-add/loan-status/interest-arrears,0..1,
,channel-code,The CRS channel code for this activity. This should only be used for reporting to CRS. The code list contains both organisation types and names of organisations. For non-CRS purposes these should be reported using the participating-org element.,xsd:string,,iati-activities/iati-activity/crs-add/channel-code,0..1,
fss,,This section allows entry of data required for the OECD DAC Forward Spending Survey at an activity level.,,,iati-activities/iati-activity/fss,0..1,
,extraction-date,The exact date when the information was collected or extracted from donors’ aid management systems.,xsd:date,,iati-activities/iati-activity/fss/@extraction-date,1..1,
,priority,True if the partner country is a priority partner country.,xsd:boolean,,iati-activities/iati-activity/fss/@priority,0..1,
,phaseout-year,"If there are plans to phase out operations from the partner country, this column shows the projected year of last disbursements.",xsd:decimal,,iati-activities/iati-activity/fss/@phaseout-year,0..1,
,forecast,A container to hold separate forecasts for each of the years specified Text() holds the forecast value for each year.,,,iati-activities/iati-activity/fss/forecast,0..*,
,,,xsd:decimal,,iati-activities/iati-activity/fss/forecast/text(),,
,year,The calendar year that the forward spend covers,xsd:decimal,,iati-activities/iati-activity/fss/forecast/@year,1..1,
,currency,A three letter ISO 4217 code for the original currency of the amount. This is required for all currency amounts unless the iati-organisation/@default-currency attribute is specified.,xsd:string,Currency,iati-activities/iati-activity/fss/forecast/@currency,0..1,
,value-date,The date to be used for determining the exchange rate for currency conversions.,xsd:date,,iati-activities/iati-activity/fss/forecast/@value-date,0..1,
