Publisher,IATI Organisation Identifier,Organization Type,HQ Country or Region,Datasets Count,Datasets Link
Sonke Gender Justice,ZA-PBO-064-502,International NGO,South Africa,2,https://iatiregistry.org/publisher/sjg
Red Cross Red Crescent Climate Centre,NL-KVK-27267681,International NGO,Netherlands,1,https://iatiregistry.org/publisher/climate_centre
Wetlands International,NL-KVK-9099028,International NGO,(No country assigned),3,https://iatiregistry.org/publisher/wi
Acid Survivors Foundation,PK-VSWA-511-2007,National NGO,Pakistan,1,https://iatiregistry.org/publisher/_admin
CNV Internationaal,NL-KVK-54436222,National NGO,Netherlands,4,https://iatiregistry.org/publisher/nl-kvk-54436222-27541
AECOM,GB-COH-01846493,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/aecom
Institute of Tropical Medicine,BE-BCE_KBO-0410057701,Other Public Sector,Belgium,2,https://iatiregistry.org/publisher/itm
GALZ,ZW-ROD-2172,National NGO,Zimbabwe,1,https://iatiregistry.org/publisher/galz
Belgian development agency (Enabel),BE-BCE_KBO-0264814354,Government,Belgium,3,https://iatiregistry.org/publisher/enabel
Centre for Economic Policy Research,GB-CHC-287287,National NGO,United Kingdom,2,https://iatiregistry.org/publisher/cepr
SOS Children's Villages The Netherlands,NL-KVK-41197577,Foundation,Netherlands,9,https://iatiregistry.org/publisher/sosnl
HealthNet TPO,NL-KVK-41211943,International NGO,Netherlands,2,https://iatiregistry.org/publisher/healthnet
marysmeals,GB-SC-SCO45223,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/marysmeals
Afghanistan Public Policy Research Organization (APPRO),AF-MOE-1212,"Academic, Training and Research",Afghanistan,2,https://iatiregistry.org/publisher/appro-af
MannionDaniels,GB-COH-04105827,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/manniondaniels
APPRO-Europe,BE-GTCF-630789842,"Academic, Training and Research",Belgium,2,https://iatiregistry.org/publisher/appro-eu
VNG International,NL-KVK-27195046,Other Public Sector,Netherlands,2,https://iatiregistry.org/publisher/vngi
Amref Health Africa Headquarters,KE-RCO-C1-61,International NGO,Kenya,2,https://iatiregistry.org/publisher/amrefhq
Wageningen University & Research - Stichting Wageningen Research,NL-KVK-09098104,"Academic, Training and Research",Netherlands,2,https://iatiregistry.org/publisher/wageningen_ur
FMO,NL-KVK-27078545,Public Private Partnership,Netherlands,1,https://iatiregistry.org/publisher/fmo
Social Development Direct Limited,GB-COH-03846881,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/sddirect
CABI,XI-IATI-CABI,Multilateral,(No country assigned),12,https://iatiregistry.org/publisher/cabi
BSR,US-EIN-52-1764268,International NGO,United States,4,https://iatiregistry.org/publisher/bsr_admin
Satellite Applications Catapult Ltd,GB-COH-07964746,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/satelliteapplicationscatapultltd
MedAccess Guarantee Limited,GB-COH-11080032,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/medaccess
COC Nederland,NL-KVK-40530156,National NGO,Netherlands,2,https://iatiregistry.org/publisher/cocnl_publisher
European Journalism Centre,NL-KVK-41078390,National NGO,Netherlands,2,https://iatiregistry.org/publisher/ejc
Republic of Korea,KR-GOV-010,Government,Korea (Republic of),51,https://iatiregistry.org/publisher/odakorea
Amref Health Africa in Ethiopia,ET-MFA-0001989741,International NGO,Ethiopia,3,https://iatiregistry.org/publisher/amrefeth
IMC WORLDWIDE,GB-COH-02651349,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/imcw_admin
IPE Global Limited,IN-MCA-U74140DL1998PLC097579,Private Sector,India,1,https://iatiregistry.org/publisher/ipeglobal
Royal National Lifeboat Institution (RNLI),GB-CHC-209603,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/rnli_international
Cardno Emerging Markets,GB-COH-05543952,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/cardnoem
Amref Health Africa Malawi,MW-NBM-R1527,National NGO,Malawi,2,https://iatiregistry.org/publisher/amrefmw
WASH Alliance International,XI-IATI-WAI,International NGO,Netherlands,2,https://iatiregistry.org/publisher/wai
Stakeholder Democracy Network,GB-CHC-1148143,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/sdn
Sound Seekers Limited,GB-COH-04354941,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/soundseekers
One Acre Fund,US-DOS-64562614,International NGO,(No country assigned),2,https://iatiregistry.org/publisher/oneacrefund
Baylor College of Medicine Children's Foundation Malawi,MW-CNM-BCM-CF,National NGO,Malawi,2,https://iatiregistry.org/publisher/bcm-cf
Amref Health Africa in Uganda,UG-NGB-5914-252,National NGO,Uganda,2,https://iatiregistry.org/publisher/amrefug
ODI,GB-CHC-228248,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/odi
"IDH, the Sustainable Trade Initiative",NL-KVK-53521129,International NGO,Netherlands,2,https://iatiregistry.org/publisher/idh
Youth Net and Counselling - YONECO,MW-CNM-C076-1999,National NGO,Malawi,2,https://iatiregistry.org/publisher/yoneco1997
Ministry of Foreign and European Affairs of the Slovak Republic,XM-DAC-69-1,Government,Slovakia,2,https://iatiregistry.org/publisher/slovakaid
Omidyar Network Fund Inc.,US-EIN-20-1173866,Foundation,United States,2,https://iatiregistry.org/publisher/omidyarnetwork
Cowater International Inc,CA-CRA_ACR-101182509,Private Sector,Canada,2,https://iatiregistry.org/publisher/cowater
Caritas Finland,FI-PRO-139407,National NGO,Finland,3,https://iatiregistry.org/publisher/caritasfin
International Finance Corporation,XM-DAC-903,Multilateral,United States,161,https://iatiregistry.org/publisher/ifcwbg
IntraHealth International,US-EIN-550825466,International NGO,United States,2,https://iatiregistry.org/publisher/intrahealth
Stichting Mayday Rescue Foundation,NL-KVK-855689493,Foundation,Netherlands,3,https://iatiregistry.org/publisher/maydayrescue
International Network of People who Use Drugs (INPUD),GB-COH-08828458,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/inpud_admin
Global Alliance for TB Drug Development,US-EIN-13-4128413,"Academic, Training and Research",United States,1,https://iatiregistry.org/publisher/tb-a
Stichting Deltares,NL-KVK-41146461,Foundation,Netherlands,1,https://iatiregistry.org/publisher/deltares
Norwegian People's Aid,NO-BRC-871033552,International NGO,Norway,7,https://iatiregistry.org/publisher/npa
The Queen Elizabeth Diamond Jubilee Trust,GB-CHC-1145640,Foundation,United Kingdom,9,https://iatiregistry.org/publisher/qedjt
Orbis Africa,ZA-PBO-930040668,International NGO,South Africa,2,https://iatiregistry.org/publisher/orbis_africa
Enhanced Integrated Framework,XM-DAC-1409,Multilateral,Switzerland,2,https://iatiregistry.org/publisher/eif
openmindedly,IM-CR-024714B,Private Sector,Isle of Man,24,https://iatiregistry.org/publisher/openmindedly
Delivery Associates Ltd,GB-COH-08333641,Private Sector,United Kingdom,5,https://iatiregistry.org/publisher/delivery_associates
United Nations Joint Programme on HIV and AIDS Secretariat (UNAIDS),XM-DAC-41110,Multilateral,Switzerland,99,https://iatiregistry.org/publisher/unaids
Mainline,NL-KVK-41209946,Foundation,Netherlands,6,https://iatiregistry.org/publisher/mainline
LTS International Limited,GB-COH-SC100833,Private Sector,United Kingdom,1,https://iatiregistry.org/publisher/lts
Human Relief Foundation,GB-CHC-1126281,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/hrf
International Initiative for Impact Evaluation,US-EIN-262681792,International NGO,United States,6,https://iatiregistry.org/publisher/3ie
Search for Common Ground (SFCG),BE-BCE_KBO-0453975341,International NGO,Belgium,2,https://iatiregistry.org/publisher/sfcg
The International Rescue Committee,US-EIN-13-5660870,International NGO,United States,2,https://iatiregistry.org/publisher/irc_inc
Burns Violence Survivors - Nepal,NP-SWC-27288,National NGO,Nepal,2,https://iatiregistry.org/publisher/bvs-nepal
Social Accountability International,US-EIN-13-3960591,International NGO,United States,1,https://iatiregistry.org/publisher/social_accountability_international
Women Peacemakers Program,NL-KVK-56083459,International NGO,Netherlands,1,https://iatiregistry.org/publisher/wpp
Ecorys UK,GB-COH-01650169,Private Sector,United Kingdom,11,https://iatiregistry.org/publisher/ecuk
The Global Forum on MSM & HIV (MSMGF),US-EIN-471065461,International NGO,United States,1,https://iatiregistry.org/publisher/msmgf
Ipas,US-EIN-56-1071085,International NGO,United States,2,https://iatiregistry.org/publisher/ipas
Women Environmental Programme,NG-CAC-495140,National NGO,Nigeria,2,https://iatiregistry.org/publisher/wep
DanChurchAid,DK-CVR-36980214,International NGO,Denmark,8,https://iatiregistry.org/publisher/dca
Global Network of People Living with HIV (GNP+),NL-KVK-41214768,International NGO,Netherlands,2,https://iatiregistry.org/publisher/gnpplus
Innovate UK KTN,GB-COH-08705643,Other Public Sector,United Kingdom,2,https://iatiregistry.org/publisher/ktn
Global Network of Sex Work Projects (NSWP),GB-COH-SC349355,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/nswp
Max Foundation,NL-KVK-34219433,Foundation,Netherlands,2,https://iatiregistry.org/publisher/max-foundation
INTERNATIONAL DISABILITY ALLIANCE,CH-FDJP-66029860165,International NGO,Switzerland,1,https://iatiregistry.org/publisher/ida
Disability Rights Advocacy Fund,US-EIN-27-5026463,International NGO,United States,2,https://iatiregistry.org/publisher/draf
Caritas Denmark,DK-CVR-29439915,National NGO,Denmark,2,https://iatiregistry.org/publisher/caritas_denmark
Win Win Strategies,NL-KVK-66926262,International NGO,Netherlands,2,https://iatiregistry.org/publisher/wws
DAI Global Health,GB-COH-03054929,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/healthpartners-international
BDO LLP,GB-COH-OC305127,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/bdo
World Economic Forum,US-EIN-203908371,International NGO,United States,2,https://iatiregistry.org/publisher/worldeconomicforum
International Treatment Preparedness Coalition (ITPC),BW-CIPA-CO20151011,International NGO,Botswana,5,https://iatiregistry.org/publisher/itpc
Amref Health Africa in Tanzania,TZ-BRLA-4368,International NGO,"Tanzania, United Republic of",1,https://iatiregistry.org/publisher/amreftz
Women's Environment & Development Organization,US-EIN-52-1238773,International NGO,United States,2,https://iatiregistry.org/publisher/wedo
Siren Associates,GB-COH-NI630024,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/siren
Construction Sector Transparency Initiative (CoST),GB-COH-8159144,International NGO,(No country assigned),1,https://iatiregistry.org/publisher/cost_uk
European Institute of Peace,BE-BCE_KBO-0550758080,Other Public Sector,Belgium,3,https://iatiregistry.org/publisher/eip
Atradius Dutch State Business,NL-KVK-33226495,Private Sector,Netherlands,2,https://iatiregistry.org/publisher/adsb
CIVICUS World Alliance for Citizen Participation,ZA-NPO-029-864,International NGO,South Africa,2,https://iatiregistry.org/publisher/civicus
Centre For Citizens With Disabilities,NG-CAC-IT-23286,National NGO,Nigeria,1,https://iatiregistry.org/publisher/ccdnigeria
UN Pooled Funds,XI-IATI-UNPF,Multilateral,(No country assigned),1,https://iatiregistry.org/publisher/unpf
ACT Alliance,CH-FDJP-66006990023,International NGO,Switzerland,2,https://iatiregistry.org/publisher/act_alliance
Kerk in Actie,NL-KVK-30258482,International NGO,Netherlands,1,https://iatiregistry.org/publisher/kerk_in_actie
International Network for Bamboo and Rattan (INBAR),XM-DAC-47064,Multilateral,(No country assigned),8,https://iatiregistry.org/publisher/inbar
Support Trust for Africa Development (STAD),NL-KVK-27251823,International NGO,Netherlands,1,https://iatiregistry.org/publisher/stad
Germany GIZ Non BMZ,XM-DAC-5-52,Other Public Sector,Germany,2,https://iatiregistry.org/publisher/giz
Ministère de l'Economie et des Finances du Bénin,XM-DAC-236,Government,Benin,2,https://iatiregistry.org/publisher/mefbenin
COWI,DK-CVR-44623528,Other Public Sector,Denmark,3,https://iatiregistry.org/publisher/cowi
AFEW International,NL-KVK-34148682,International NGO,Netherlands,1,https://iatiregistry.org/publisher/afewinternational
International Union for Conservation of Nature and Natural Resources,XM-DAC-30011,Other Public Sector,Switzerland,3,https://iatiregistry.org/publisher/iucn
Société Nationale des eaux du Bénin (SONEB),BJ-IFU-3200700033415,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/soneb-benin
Arab foundation for freedoms and equality,LB-MOI-18291,Regional NGO,Lebanon,1,https://iatiregistry.org/publisher/afemena
United States Agency for International Development (USAID),US-GOV-1,Government,United States,186,https://iatiregistry.org/publisher/usaid
Integrity Research and Consultancy Ltd,GB-COH-07321996,Private Sector,United Kingdom,8,https://iatiregistry.org/publisher/integrity
DCAF - Geneva Centre for Security Sector Governance,CH-FDJP-109458452,Foundation,Switzerland,5,https://iatiregistry.org/publisher/dcaf
Association for Progressive Communication,US-EIN-943287156,International NGO,United States,2,https://iatiregistry.org/publisher/apc
UHAI EASHRI,KE-RCO-201036685,Foundation,Kenya,1,https://iatiregistry.org/publisher/uhai-eashri
People in Need,CZ-ICO-25755277,International NGO,Czechia,1,https://iatiregistry.org/publisher/pin
Coalition of African Lesbians (CAL),ZA-NPO-060766,International NGO,South Africa,1,https://iatiregistry.org/publisher/cal_2000-pu
Trias,BE-BCE_KBO-0427736148,National NGO,Belgium,17,https://iatiregistry.org/publisher/trias
Trocaire,IE-CHY-20009601,International NGO,Ireland,1,https://iatiregistry.org/publisher/trocaire
Global Innovation Fund,GB-CHC-1171353,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/gif
ICF Consulting Services Ltd,GB-COH-04161656,Private Sector,United Kingdom,6,https://iatiregistry.org/publisher/icf
The National Association of Municipalities of Benin (ANCB),BJ-IFU-6201408024805,National NGO,Benin,3,https://iatiregistry.org/publisher/ancb_benin
Guttmacher Institute,US-EIN-13-2890727,International NGO,United States,2,https://iatiregistry.org/publisher/guttmacher
Food and Agriculture Organization of the United Nations (FAO),XM-DAC-41301,Multilateral,Italy,2,https://iatiregistry.org/publisher/fao
Medair,CH-FDJP-106064950,International NGO,Switzerland,2,https://iatiregistry.org/publisher/medair
Giro555 (Stichting Samenwerkende Hulporganisaties),NL-KVK-27302841,International NGO,Netherlands,2,https://iatiregistry.org/publisher/giro555
World Health Organization (WHO),XM-DAC-928,Multilateral,Switzerland,184,https://iatiregistry.org/publisher/who
Girls Not Brides: The Global Partnership to End Child Marriage,GB-CHC-1154230,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/girlsnotbrides
Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',NL-KVK-41152832,"Academic, Training and Research",Netherlands,3,https://iatiregistry.org/publisher/clingendael
PUM Netherlands,NL-KVK-41160229,International NGO,Netherlands,2,https://iatiregistry.org/publisher/pumnl
World Federalist Movement - Institute for Global Policy,NL-KVK-41153698,International NGO,Netherlands,1,https://iatiregistry.org/publisher/wfm-igp
Meningitis Research Foundation,GB-CHC-1091105,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/mrf
Women's Global Network on Reproductive Rights,PH-SEC-FN200806591,International NGO,Philippines,1,https://iatiregistry.org/publisher/wgnrr_iati
IDEO.org,US-EIN-27-3755556,International NGO,United States,2,https://iatiregistry.org/publisher/ideo_org
siiqqee Women's Development Association,ET-CSA-0081,National NGO,Ethiopia,1,https://iatiregistry.org/publisher/swda
World Economic Forum Geneva,CH-FDJP-66004229946,International NGO,Switzerland,1,https://iatiregistry.org/publisher/weforum_geneva
Caritas International (Belgium),BE-BCE_KBO-0410644946,National NGO,Belgium,7,https://iatiregistry.org/publisher/cibe
Helvetas Swiss Intercooperation,CH-FDJP-CHE105834763,International NGO,Switzerland,2,https://iatiregistry.org/publisher/hsi
MVO Nederland,NL-KVK-30195730,Other Public Sector,Netherlands,2,https://iatiregistry.org/publisher/mvo_nederland
DNH Mali (Direction Nationale de l’Hydraulique du Mali),ML-NIF-400100027H,Government,Mali,3,https://iatiregistry.org/publisher/pca-gire
Near East Foundation (NEF USA),US-EIN-13-1624114,International NGO,United States,2,https://iatiregistry.org/publisher/nef_usa
The Carter Center,US-EIN-58-1454716,International NGO,United States,1,https://iatiregistry.org/publisher/carter-center
International Child Development Initiatives,NL-KVK-41169161,International NGO,Netherlands,1,https://iatiregistry.org/publisher/icdi
HiiL innovating Justice,NL-KVK-27290536,Foundation,Netherlands,2,https://iatiregistry.org/publisher/hiil_mfa
Union of Agricultural Work Committees,PS-MOI-RA-22220-A,National NGO,"Palestine, State of",1,https://iatiregistry.org/publisher/uawc
Stichting VU Amsterdam - Amsterdam Centre for World Food Studies,NL-KVK-53815211,"Academic, Training and Research",Netherlands,2,https://iatiregistry.org/publisher/acwfs_vu
Ethiopian Horticulture Producer Exporters Association (EHPEA),ET-MOT-020/4/007,National NGO,Ethiopia,2,https://iatiregistry.org/publisher/ehpea
International Bureau of Fiscal Documentation (IBFD),NL-KVK-41197411,"Academic, Training and Research",Netherlands,1,https://iatiregistry.org/publisher/ibfd
United Work,NL-KVK-67143555,National NGO,Netherlands,2,https://iatiregistry.org/publisher/united_work
UNICEF Netherlands National Committee,NL-KVK-27102631,National NGO,Netherlands,1,https://iatiregistry.org/publisher/unicefnl
AICS - Agenzia Italiana per la Cooperazione allo Sviluppo / Italian Agency for Cooperation and Development,XM-DAC-6-4,Government,Italy,93,https://iatiregistry.org/publisher/aics
Climate Policy Initiative,US-EIN-26-4129153,"Academic, Training and Research",United States,4,https://iatiregistry.org/publisher/cpi
YMCA of Liberia,LR-MPEA-NGO-AC-0298,National NGO,Liberia,1,https://iatiregistry.org/publisher/libymca
TradeMark East Africa,KE-RCO-CPR/2009/5689,Regional NGO,Kenya,2,https://iatiregistry.org/publisher/tmea
Local Development and Small Projects Support,TR-MOI-27-018-163,National NGO,Turkey,1,https://iatiregistry.org/publisher/ldsps
Vlaamse Interuniversitaire Raad voor Universitaire Ontwikkelingssamenwerking (VLIR-UOS),BE-BCE_KBO-0418766123,"Academic, Training and Research",Belgium,2,https://iatiregistry.org/publisher/vlir-uos
Fundación Fondo Mujeres del Sur,AR-CENOC-16969-A,Foundation,Argentina,2,https://iatiregistry.org/publisher/fms
United Nations Foundation,US-EIN-58-2368165,National NGO,United States,2,https://iatiregistry.org/publisher/unf
International IDEA,XM-DAC-47058,Multilateral,Sweden,2,https://iatiregistry.org/publisher/idea
IHE Delft Institute for Water Education,NL-KVK-41146484,"Academic, Training and Research",Netherlands,2,https://iatiregistry.org/publisher/ihedelft
TechnoServe,US-EIN-13-2626135,International NGO,United States,3,https://iatiregistry.org/publisher/tns
Administração de Infra-Estruturas de Águas e Saneamento,MZ-NUIT-700098168,Government,Mozambique,1,https://iatiregistry.org/publisher/aias
Caribbean Development Bank (CDB),XM-DAC-46009,Multilateral,(No country assigned),11,https://iatiregistry.org/publisher/caribank
Women's Refugee Commission,US-EIN-463668128,International NGO,United States,2,https://iatiregistry.org/publisher/w_r_c
Agência de Desenvolvimento do Vale do Zambeze,MZ-NUIT-50039061,Government,Mozambique,2,https://iatiregistry.org/publisher/agencia_do_zambeze
Conflict Dynamics International,US-EIN-56-2460366,International NGO,United States,3,https://iatiregistry.org/publisher/cdi
University of Leeds,GB-COH-RC000658,"Academic, Training and Research",United Kingdom,4,https://iatiregistry.org/publisher/leedsuni
Mulanje Mission Hospital,MW-MRA-20125995,National NGO,Malawi,2,https://iatiregistry.org/publisher/mmh
International NGO Safety Orgnisation,GB-CHC-1140276,International NGO,United Kingdom,5,https://iatiregistry.org/publisher/inso
Palliative Care Support Trust,MW-RG-2977,National NGO,Malawi,2,https://iatiregistry.org/publisher/pcst
Ethiopiaid UK,GB-CHC-802353,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/ethiopiaiduk
Access to Seeds Foundation,NL-KVK-70292361,International NGO,Netherlands,1,https://iatiregistry.org/publisher/atsf
Oxfam Solidarité-Solidariteit,BE-BCE_KBO-0408643875,National NGO,Belgium,2,https://iatiregistry.org/publisher/oxsol
CLASP,US-EIN-33-1112770,International NGO,United States,2,https://iatiregistry.org/publisher/clasp
United Nations Environment Programme (UNEP),XM-DAC-41116,Multilateral,(No country assigned),2,https://iatiregistry.org/publisher/un-environment
The Access to Nutrition Foundation,NL-KVK-58279199,International NGO,Netherlands,2,https://iatiregistry.org/publisher/atnf
International Network for Advancing Science and Policy,GB-CHC-1106349,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/inasp
Population Services and Training Centre (PSTC),BD-NAB-1102,National NGO,Bangladesh,2,https://iatiregistry.org/publisher/pstc_1102
Horizons for Green Development,JO-CCD-200138796,National NGO,Jordan,2,https://iatiregistry.org/publisher/horizons
Handicap International UK,GB-CHC-1082565,"Academic, Training and Research",United Kingdom,26,https://iatiregistry.org/publisher/hiuk
Send a Cow Ethiopia,ET-CSA-0638,National NGO,Ethiopia,2,https://iatiregistry.org/publisher/sacethiopia
Caritas Serbia,RS-APR-17062603,National NGO,(No country assigned),1,https://iatiregistry.org/publisher/caritas_serbia
Netherlands Commission for Environmental Assessment,NL-KVK-41185216,Foundation,Netherlands,2,https://iatiregistry.org/publisher/ncea
Oxfam America,US-EIN-23-7069110,International NGO,United States,2,https://iatiregistry.org/publisher/oxfamus
Kesho Kenya,KE-NCB-218/051/15179/10159,National NGO,Kenya,2,https://iatiregistry.org/publisher/kesho_kenya
Ananda Marga Universal Relief Team (AMURT) Africa,KE-NCB-OP21805193101154,National NGO,Kenya,2,https://iatiregistry.org/publisher/amurt_kenya
Pastoralist Girls Initiative,KE-NCB-KENCBOP218051200802235390,National NGO,Kenya,1,https://iatiregistry.org/publisher/pgi_kenya
Berytech Foundation,LB-MOI-26_AD,Foundation,Lebanon,2,https://iatiregistry.org/publisher/berytech
Stichting Wings For Aid Foundation,NL-KVK-64680029,Foundation,Netherlands,1,https://iatiregistry.org/publisher/wfaf
Nuffic,NL-KVK-41150085,"Academic, Training and Research",Netherlands,1,https://iatiregistry.org/publisher/nuffic20171017
ONG ALCRER,BJ-IFU-6201200599008,National NGO,Benin,2,https://iatiregistry.org/publisher/alcrer-1
Diakonia Sweden,SE-ON-802017-3517,International NGO,Sweden,1,https://iatiregistry.org/publisher/diakonia802017-3517
Social Watch Benin,BJ-IFU-6201101048400,National NGO,Benin,2,https://iatiregistry.org/publisher/swb_1
"UK - Department for Business, Energy and Industrial Strategy (BEIS)",GB-GOV-13,Government,United Kingdom,17,https://iatiregistry.org/publisher/beis
"The Population Council, Inc.",US-EIN-13-1687001,"Academic, Training and Research",United States,2,https://iatiregistry.org/publisher/populationcouncil
Panos Institute West Africa (PIWA),SN-NINEA-621108990A0,International NGO,Senegal,1,https://iatiregistry.org/publisher/ipao
Prince Claus Fund,NL-KVK-41159889,International NGO,Netherlands,9,https://iatiregistry.org/publisher/pcf
African Center for Economic Transformation (ACET),US-EIN-11-3803281,Regional NGO,United States,2,https://iatiregistry.org/publisher/acet
The Power of Nutrition,GB-COH-09288843,Foundation,United Kingdom,1,https://iatiregistry.org/publisher/the_power_of_nutrition
Danish Refugee Council,DK-CVR-20699310,International NGO,Denmark,2,https://iatiregistry.org/publisher/drc
Amnesty International UK Section Charitable Trust,GB-CHC-1051681,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/aiuk
University of Birmingham,GB-EDU-133784,"Academic, Training and Research",United Kingdom,2,https://iatiregistry.org/publisher/universityofbirmingham
Fundo de Investimento e Patrimonio do Abastecimento de Água (FIPAG),MZ-NUIT-600000381,Other Public Sector,Mozambique,1,https://iatiregistry.org/publisher/fipag
CARE International in Zimbabwe,ZW-PVO-15/2003,International NGO,Zimbabwe,2,https://iatiregistry.org/publisher/ciz
World Resources Institute,US-EIN-521257057,International NGO,United States,3,https://iatiregistry.org/publisher/wri
United Disabled Persons of Kenya,KE-RSO-14210,National NGO,Kenya,1,https://iatiregistry.org/publisher/udpk
Memisa,BE-BCE_KBO-0435563751,"Academic, Training and Research",Belgium,1,https://iatiregistry.org/publisher/memisa
World Vision Zimbabwe,ZW-PVO-26/79,International NGO,Zimbabwe,1,https://iatiregistry.org/publisher/wvz-gec
World Waternet,NL-KVK-34271281,Foundation,Netherlands,1,https://iatiregistry.org/publisher/worldwaternet
Ecorys Nederland B.V.,NL-KVK-24316726,Private Sector,Netherlands,2,https://iatiregistry.org/publisher/ecorysnl
Global Green Growth Institute (GGGI),XM-DAC-47136,Multilateral,(No country assigned),2,https://iatiregistry.org/publisher/gggi
Collectif Stratégies Alimentaires,BE-BCE_KBO-0448755949,National NGO,Belgium,2,https://iatiregistry.org/publisher/csa
University of Amsterdam,NL-KVK-34370207,"Academic, Training and Research",Netherlands,2,https://iatiregistry.org/publisher/uva_org
The Hunger Project Netherlands,NL-KVK-41201198,International NGO,Netherlands,1,https://iatiregistry.org/publisher/thp_org
VVSG - Vereniging van Vlaamse Steden en Gemeenten,BE-BCE_KBO-0451857573,Other Public Sector,Belgium,2,https://iatiregistry.org/publisher/vvsg
SOS FAIM - SOS HUNGER,BE-BCE_KBO-0425410524,National NGO,Belgium,2,https://iatiregistry.org/publisher/sosfaim
Wolayita Development Association,ET-CSA-0486,"Academic, Training and Research",Ethiopia,2,https://iatiregistry.org/publisher/woda_0486
VVOB Education for Development,BE-BCE_KBO-0423616717,Other Public Sector,Belgium,2,https://iatiregistry.org/publisher/vvob
Autre Terre asbl,BE-BCE_KBO-0423588904,"Academic, Training and Research",Belgium,2,https://iatiregistry.org/publisher/a-t
Ngo-federatie (Vlaamse federatie van ngo's voor ontwikkelingssamenwerking),BE-BCE_KBO-0449400604,National NGO,Belgium,2,https://iatiregistry.org/publisher/ngo-federatie
War Child Canada,CA-CRA_ACR-872374426,International NGO,Canada,1,https://iatiregistry.org/publisher/wcc
Federation of Women Lawyers Kenya,KE-NCB-218/051/93132/90,National NGO,Kenya,2,https://iatiregistry.org/publisher/fida
PricewaterhouseCoopers Private Limited India,IN-MCA-U74140WB1983PTC036093,Private Sector,India,2,https://iatiregistry.org/publisher/pwcplindia
Orbis Ethiopia,ET-CSA-1063,National NGO,Ethiopia,2,https://iatiregistry.org/publisher/orbis_ethiopia
Centre Tricontinental - CETRI,BE-BCE_KBO-0461076236,National NGO,Belgium,2,https://iatiregistry.org/publisher/ct-admin
Entraide et Fraternité,BE-BCE_KBO-0418015461,National NGO,Belgium,12,https://iatiregistry.org/publisher/ef_
Save the Children International,GB-CHC-1076822,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/sci
Louvain Coopération,BE-BCE_KBO-0422717486,National NGO,Belgium,2,https://iatiregistry.org/publisher/lc
Brulocalis,BE-BCE_KBO-0451516390,Other Public Sector,Belgium,2,https://iatiregistry.org/publisher/brulocalis
Centre National de Coopération au Développement (CNCD-11.11.11),BE-BCE_KBO-0421207751,National NGO,Belgium,5,https://iatiregistry.org/publisher/cncd
Viva Salud,BE-BCE_KBO-0418282311,National NGO,Belgium,2,https://iatiregistry.org/publisher/g3w-m3m_admin
Oxfam-Magasins du monde (omdm),BE-BCE_KBO-0416486821,National NGO,Belgium,2,https://iatiregistry.org/publisher/omdm
Union des Villes et Communes de Wallonie (UVCW),BE-BCE_KBO-0451461655,Other Public Sector,Belgium,2,https://iatiregistry.org/publisher/uvcw
OCHA Country Based Pooled Funds,XM-OCHA-CBPF,Multilateral,(No country assigned),550,https://iatiregistry.org/publisher/unocha-cbpf
Association for Cultural Technical and Educational Cooperation (ACTEC),BE-BCE_KBO-0424198222,National NGO,Belgium,2,https://iatiregistry.org/publisher/actec
Iles de Paix,BE-BCE_KBO-0408908151,National NGO,Belgium,2,https://iatiregistry.org/publisher/idp
Center for Research on Environment Health and Population Activities (CREHPA),NP-SWC-1844,National NGO,Nepal,3,https://iatiregistry.org/publisher/crehpa
Orbis International,US-EIN-237297651,International NGO,United States,4,https://iatiregistry.org/publisher/orbis_international
Africalia,BE-BCE_KBO-0474198059,Other Public Sector,Belgium,2,https://iatiregistry.org/publisher/africalia
Tearfund VZW (TFBE),BE-BCE_KBO-0419872616,National NGO,Belgium,2,https://iatiregistry.org/publisher/tfb_admin1
